Locatie,Time,Regiune,Nr. Inmatriculare,Caracteristica placii,Culoare placu?a,Acoperire caroserie vehicul,Tip,Culoare,Logo,Centura locului,Se apeleaza,Ornament,Imagine Panoramica,Lista de permisiuni (lista alba)/Lista cu persoanele blocate (lista neagra)
D7,29-08-2024 23:01:08,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-2-1-14811713353.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-2-0-0161470&E=VehicleAnalyse&I=766398.jpg,General
D7,29-08-2024 23:00:38,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-1-1-12685923484.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-1-0-0150343&E=VehicleAnalyse&I=766397.jpg,General
D7,29-08-2024 23:00:23,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-0-1-12364924824.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-288599-3-0-0-0148473&E=VehicleAnalyse&I=766396.jpg,General
D7,29-08-2024 22:59:40,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-35-1-24907315162.jpg,Sedan,Negru,Lexus,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-35-0-0264235&E=VehicleAnalyse&I=766395.jpg,General
D7,29-08-2024 22:59:34,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-34-1-12668431972.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-34-0-0158656&E=VehicleAnalyse&I=766394.jpg,General
D7,29-08-2024 22:59:31,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-33-1-12186224423.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-33-0-0146285&E=VehicleAnalyse&I=766393.jpg,General
D7,29-08-2024 22:59:23,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-32-1-12224925455.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-32-0-0147704&E=VehicleAnalyse&I=766392.jpg,General
D7,29-08-2024 22:58:23,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-31-1-12898523657.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-31-0-0152642&E=VehicleAnalyse&I=766391.jpg,General
D7,29-08-2024 22:58:10,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-30-1-12204024170.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-30-0-0146210&E=VehicleAnalyse&I=766390.jpg,General
D7,29-08-2024 22:57:57,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-29-1-13242224065.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-29-0-0156487&E=VehicleAnalyse&I=766389.jpg,General
D7,29-08-2024 22:57:47,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-28-1-12153324331.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-28-0-0145864&E=VehicleAnalyse&I=766388.jpg,General
D7,29-08-2024 22:57:36,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-27-1-12194926119.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-27-0-0148068&E=VehicleAnalyse&I=766387.jpg,General
D7,29-08-2024 22:57:17,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-26-1-12345424891.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-26-0-0148345&E=VehicleAnalyse&I=766386.jpg,General
D7,29-08-2024 22:57:03,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-25-1-14289511225.jpg,Autofurgoneta,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-25-0-0154120&E=VehicleAnalyse&I=766385.jpg,General
D7,29-08-2024 22:56:44,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-24-1-12178825593.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-24-0-0147381&E=VehicleAnalyse&I=766384.jpg,General
D7,29-08-2024 22:56:15,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-23-1-12910923257.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-23-0-0152366&E=VehicleAnalyse&I=766383.jpg,General
D7,29-08-2024 22:55:48,Necunoscut,V967,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-22-1-24096715046.jpg,Sedan,Negru,Foton,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-22-0-0256013&E=VehicleAnalyse&I=766382.jpg,General
D7,29-08-2024 22:55:15,România,SV34NUK,Vehicle_20240829000000_20240829235959//0-287333-3-21-1-2520731298&E=VehicleAnalyse&I=766381.jpg,Necunoscut,Necunoscut,Sedan,Negru,BYD,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-21-0-0255431&E=VehicleAnalyse&I=766381.jpg,General
D7,29-08-2024 22:55:11,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-20-1-14244825541.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-20-0-0167989&E=VehicleAnalyse&I=766380.jpg,General
D7,29-08-2024 22:54:54,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-19-1-21057623006.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-19-0-0233582&E=VehicleAnalyse&I=766379.jpg,General
D7,29-08-2024 22:54:29,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-18-1-12234630733.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-18-0-0153079&E=VehicleAnalyse&I=766378.jpg,General
D7,29-08-2024 22:54:14,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-17-1-12194730523.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-17-0-0152470&E=VehicleAnalyse&I=766377.jpg,General
D7,29-08-2024 22:54:07,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-16-1-12396124945.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-16-0-0148906&E=VehicleAnalyse&I=766376.jpg,General
D7,29-08-2024 22:53:55,Olanda,SV44VL,Vehicle_20240829000000_20240829235959//0-287333-3-15-1-2453251186&E=VehicleAnalyse&I=766375.jpg,Necunoscut,Necunoscut,MPV,Negru,Hyundai,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-15-0-0248571&E=VehicleAnalyse&I=766375.jpg,General
D7,29-08-2024 22:53:50,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-14-1-13688428107.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-14-0-0164991&E=VehicleAnalyse&I=766374.jpg,General
D7,29-08-2024 22:53:45,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-13-1-14338040313.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-13-0-0183693&E=VehicleAnalyse&I=766373.jpg,General
D7,29-08-2024 22:53:43,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-12-1-12229224439.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-12-0-0146731&E=VehicleAnalyse&I=766372.jpg,General
D7,29-08-2024 22:53:14,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-11-1-12249325916.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-11-0-0148409&E=VehicleAnalyse&I=766371.jpg,General
D7,29-08-2024 22:53:02,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-10-1-12276025557.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-10-0-0148317&E=VehicleAnalyse&I=766370.jpg,General
D7,29-08-2024 22:52:47,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-9-1-12233926117.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-9-0-0148456&E=VehicleAnalyse&I=766369.jpg,General
D7,29-08-2024 22:51:57,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-8-1-12882226790.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-8-0-0155612&E=VehicleAnalyse&I=766368.jpg,General
D7,29-08-2024 22:51:16,România,SV27ACE,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-7-1-18833149620.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-7-0-0237951&E=VehicleAnalyse&I=766367.jpg,General
D7,29-08-2024 22:51:12,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-6-1-12743524093.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-6-0-0151528&E=VehicleAnalyse&I=766366.jpg,General
D7,29-08-2024 22:51:06,Austria,SV17JXU,Vehicle_20240829000000_20240829235959//0-287333-3-5-1-1832831606&E=VehicleAnalyse&I=766365.jpg,Necunoscut,Necunoscut,Autobuz mediu,Negru,Vad,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-5-0-0186949&E=VehicleAnalyse&I=766365.jpg,General
D7,29-08-2024 22:49:37,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-4-1-11853823231.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-4-0-0141769&E=VehicleAnalyse&I=766364.jpg,General
D7,29-08-2024 22:48:59,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-3-1-15105713687.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-3-0-0164744&E=VehicleAnalyse&I=766363.jpg,General
D7,29-08-2024 22:48:38,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-2-1-12789912680.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-2-0-0140579&E=VehicleAnalyse&I=766362.jpg,General
D7,29-08-2024 22:47:39,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-1-1-12275729651.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-1-0-0152408&E=VehicleAnalyse&I=766361.jpg,General
D7,29-08-2024 22:46:17,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-0-1-12877423424.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-287333-3-0-0-0152198&E=VehicleAnalyse&I=766360.jpg,General
D7,29-08-2024 22:44:52,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-20-1-12380813841.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-20-0-0137649&E=VehicleAnalyse&I=766359.jpg,General
D7,29-08-2024 22:44:46,România,SV15BZU,Vehicle_20240829000000_20240829235959//0-286005-3-19-1-2524181292&E=VehicleAnalyse&I=766358.jpg,Necunoscut,Necunoscut,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-19-0-0255770&E=VehicleAnalyse&I=766358.jpg,General
D7,29-08-2024 22:43:50,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-18-1-12248625241.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-18-0-0147727&E=VehicleAnalyse&I=766357.jpg,General
D7,29-08-2024 22:42:57,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-17-1-12867221905.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-17-0-0150577&E=VehicleAnalyse&I=766356.jpg,General
D7,29-08-2024 22:42:04,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-16-1-12828722126.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-16-0-0150413&E=VehicleAnalyse&I=766355.jpg,General
D7,29-08-2024 22:42:00,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-15-1-12249124151.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-15-0-0146642&E=VehicleAnalyse&I=766354.jpg,General
D7,29-08-2024 22:40:54,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-14-1-13085325059.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-14-0-0155912&E=VehicleAnalyse&I=766353.jpg,General
D7,29-08-2024 22:40:25,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-13-1-12728215967.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-13-0-0143249&E=VehicleAnalyse&I=766352.jpg,General
D7,29-08-2024 22:39:01,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-12-1-1581067873.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-12-0-0165979&E=VehicleAnalyse&I=766351.jpg,General
D7,29-08-2024 22:38:59,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-11-1-12890322460.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-11-0-0151363&E=VehicleAnalyse&I=766350.jpg,General
D7,29-08-2024 22:38:29,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-10-1-12249623944.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-10-0-0146440&E=VehicleAnalyse&I=766349.jpg,General
D7,29-08-2024 22:36:59,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-9-1-13470924471.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-9-0-0159180&E=VehicleAnalyse&I=766348.jpg,General
D7,29-08-2024 22:36:55,România,SV74AMT,Vehicle_20240829000000_20240829235959//0-286005-3-8-1-2422951495&E=VehicleAnalyse&I=766347.jpg,Necunoscut,Necunoscut,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-8-0-0245850&E=VehicleAnalyse&I=766347.jpg,General
D7,29-08-2024 22:36:49,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-7-1-13531725704.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-7-0-0161021&E=VehicleAnalyse&I=766346.jpg,General
D7,29-08-2024 22:36:43,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-6-1-12469424587.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-6-0-0149281&E=VehicleAnalyse&I=766345.jpg,General
D7,29-08-2024 22:35:16,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-5-1-12294423276.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-5-0-0146220&E=VehicleAnalyse&I=766344.jpg,General
D7,29-08-2024 22:33:54,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-4-1-12365123070.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-4-0-0146721&E=VehicleAnalyse&I=766343.jpg,General
D7,29-08-2024 22:33:26,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-3-1-12172225606.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-3-0-0147328&E=VehicleAnalyse&I=766342.jpg,General
D7,29-08-2024 22:32:25,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-2-1-12203725227.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-2-0-0147264&E=VehicleAnalyse&I=766341.jpg,General
D7,29-08-2024 22:31:25,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-1-1-12871122709.jpg,Altul,Alb,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-1-0-0151420&E=VehicleAnalyse&I=766340.jpg,General
D7,29-08-2024 22:31:17,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-0-1-12204325348.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-286005-3-0-0-0147391&E=VehicleAnalyse&I=766339.jpg,General
D7,29-08-2024 22:29:01,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-45-1-12612829387.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-45-0-0155515&E=VehicleAnalyse&I=766338.jpg,General
D7,29-08-2024 22:28:16,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-44-1-12859627801.jpg,Altul,Gri,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-44-0-0156397&E=VehicleAnalyse&I=766337.jpg,General
D7,29-08-2024 22:27:36,România,SV99BAX,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-43-1-21515711400.jpg,Sedan,Alb,Jaguar,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-43-0-0226557&E=VehicleAnalyse&I=766336.jpg,General
D7,29-08-2024 22:27:33,Necunoscut,Unknown,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-42-1-15789925326.jpg,Altul,Negru,Necunoscut,Necunoscut,Necunoscut,Necunoscut,Vehicle_20240829000000_20240829235959//0-284607-3-42-0-0183225&E=VehicleAnalyse&I=766335.jpg,General
